dataset,cell_i,cell_j,tissue_i,tissue_j,junction_type,official_group,distance_to_boundary,tension
dataset1,cell_6,cell_16,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,11.441655928538935
dataset1,cell_8,cell_11,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,4.380661009526241
dataset1,cell_8,cell_16,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,8.212197325099856
dataset1,cell_10,cell_16,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,14.458581637491465
dataset1,cell_11,cell_16,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,8.641454230647046
dataset1,cell_11,cell_21,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,15.855910908854243
dataset1,cell_11,cell_25,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,42.42969052406017
dataset1,cell_16,cell_19,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,66.65285161761444
dataset1,cell_16,cell_25,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,46.39690777657492
dataset1,cell_21,cell_25,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,41.89785357370612
dataset1,cell_21,cell_35,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,85.69133995843484
dataset1,cell_25,cell_35,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,3,78.91061632338324
dataset1,cell_25,cell_39,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,80.20150471607428
dataset1,cell_28,cell_32,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,134.4123556883971
dataset1,cell_29,cell_38,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,56.29176217676
dataset1,cell_29,cell_42,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,110.31187078046972
dataset1,cell_29,cell_43,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,116.69429900526453
dataset1,cell_30,cell_35,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,154.58627167204793
dataset1,cell_30,cell_38,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,210.8793793863108
dataset1,cell_30,cell_48,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,146.0970092967994
dataset1,cell_30,cell_49,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,435.75980661445374
dataset1,cell_30,cell_50,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,2,157.68150995922295
dataset1,cell_31,cell_51,Forebrain/Midbrain/Hindbrain,Neural Crest,heterotypic,heterotypic,0,223.1215633631377
dataset1,cell_32,cell_37,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,134.47299144363782
dataset1,cell_32,cell_39,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,4,84.084147946792
dataset1,cell_32,cell_55,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,5,117.08296313192
dataset1,cell_34,cell_45,Forebrain/Midbrain/Hindbrain,Forebrain/Midbrain/Hindbrain,homotypic,Forebrain/Midbrain/Hindbrain_awayfrom_boundary,1,39.27757799594785
